id,price,bedrooms,bathrooms,sqft_lot,floors,grade,sqft_above,yr_built,lat,long,city_area
7129300520,221900.0,3,1,5650,1.0,7,1180,1955,47.5112,-122.257,Seattle - Rainier Valley and Rainier Beach
6414100192,538000.0,3,2,7242,2.0,7,2170,1951,47.721,-122.319,Seattle - Northgate and Lake City
5631500400,180000.0,2,1,10000,1.0,6,770,1933,47.7379,-122.233,Kenmore and Lake Forest Park
2487200875,604000.0,4,3,5000,1.0,7,1050,1965,47.5208,-122.393,Seattle - West Seattle
1954400510,510000.0,3,2,8080,1.0,8,1680,1987,47.6168,-122.045,Sammamish
7237550310,1225000.0,4,4,101930,1.0,11,3890,2001,47.6561,-122.005,Bear Creek and Greater Sammamish
1321400060,257500.0,3,2,6819,2.0,7,1715,1995,47.3097,-122.327,Federal Way - Central
2008000270,291850.0,3,2,9711,1.0,7,1060,1963,47.4095,-122.315,Des Moines and Normandy Park
2414600126,229500.0,3,1,7470,1.0,7,1050,1960,47.5123,-122.337,North Highline and White Center
3793500160,323000.0,3,2,6560,2.0,7,1890,2003,47.3684,-122.031,Maple Valley
1736800520,662500.0,3,2,9796,1.0,8,1860,1965,47.6007,-122.145,Bellevue - Central
9212900260,468000.0,2,1,6000,1.0,7,860,1942,47.69,-122.292,"Seattle - Laurelhurst, Sand Point, and Wedgwood"
114101516,310000.0,3,1,19901,1.5,7,1430,1927,47.7558,-122.229,Kenmore and Lake Forest Park
6054650070,400000.0,3,2,9680,1.0,7,1370,1977,47.6127,-122.045,Sammamish
1175000570,530000.0,5,2,4850,1.5,7,1810,1900,47.67,-122.394,Seattle - Ballard
9297300055,650000.0,4,3,5000,2.0,9,1980,1979,47.5714,-122.375,Seattle - West Seattle
1875500060,395000.0,3,2,14040,2.0,7,1890,1994,47.7277,-121.962,"Duvall, Carnation, Skykomish, and Northeast King County"
6865200140,485000.0,4,1,4300,1.5,7,1600,1916,47.6648,-122.343,Fremont and Wallingford
16000397,189000.0,2,1,9850,1.0,7,1200,1921,47.3089,-122.21,Auburn - North
